# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2021 — 31.12.2022 (пиковые годы), топ-200 по визитам.
# Всего визитов за период: 1 784 639, отказы 17,22 %. Выгружено 23.09.2026.
# Колонки: страница входа | визиты | отказы
/blog/obzory-mayning-oborudovaniya/obzor-asika-innosilicon-t2t-32-th/ | 1035 | 36,80%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_8_videokartakh_nvidia_geforce_rtx_3080/?oid=5711 | 1035 | 14,72%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_palit_geforce_rtx_3080_gamerock_/ | 1018 | 29,15%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_gigabyte_geforce_rtx_3070_gaming_oc_8g/ | 1017 | 21,26%
/blog/obzory-mayning-oborudovaniya/obzor-antminer-s9k-14th-dokhodnost-200-v-god/ | 1006 | 35,86%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19j_pro/?oid=26784 | 990 | 20,02%
/catalog/asic_maynery/bitmain/bitmain_antminer_s7/ | 986 | 27,61%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_msi_geforce_rtx_3070_gaming_x_trio_single/ | 970 | 25,06%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3070_ti/?oid=7219 | 968 | 18,63%
/catalog/fermy_dlya_mayninga/mayning_ferma_na_videokartakh_cmp_90hx/?oid=8158 | 967 | 17,50%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_palit_geforce_rtx_3080_gamingpro/ | 967 | 28,97%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_palit_geforce_rtx_3090_gamerock_24g/ | 951 | 18,26%
/catalog/asic_maynery/dragonmint_t1/ | 950 | 23,82%
