Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Bitmain Antminer T17;Каталог / ASIC Майнеры / Bitmain;57000.0;InStock;3695;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t17/;https://miningshop.ru/upload/iblock/595/59518e35eab67558aaffc6d2472c4f4a.jpg;;3273;3695;;;12;247;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;2200;;;;;;;;
Bitmain Antminer T17+;Каталог / ASIC Майнеры / Bitmain;226000.0;InStock;3760;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t17_plus/;https://miningshop.ru/upload/iblock/be0/be0914af846bf8ab7420a07565ab623c.jpg;;3453;3760;;58 - 64 Th/s, есть разгон;INF;160;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer T17e;Каталог / ASIC Майнеры / Bitmain;31000.0;OutOfStock;1004;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t17e/;https://miningshop.ru/upload/iblock/63f/63fba4c9db6f4ce73b3c34afceb7e732.png https://miningshop.ru/upload/iblock/5db/5dba701fe1bd4150bad98081d20076b3.png https://miningshop.ru/upload/iblock/585/585bb4f0e33f134411615289c0325693.png https://miningshop.ru/upload/iblock/877/877870be7cd08022e35ba855a2eadd4e.png https://miningshop.ru/upload/iblock/8c9/8c902aecfb86272d8fcb279b90da0e1f.png https://miningshop.ru/upload/iblock/2b3/2b313152229c40bcd9f33e1af28ed069.png;mirror/upload/resize_cache/iblock/5db/400_400_140cd750bba9870f18aada2478b24840a/5dba701fe1bd4150bad98081d20076b3.png mirror/upload/resize_cache/iblock/585/400_400_140cd750bba9870f18aada2478b24840a/585bb4f0e33f134411615289c0325693.png mirror/upload/iblock/877/877870be7cd08022e35ba855a2eadd4e.png mirror/upload/resize_cache/iblock/8c9/400_400_140cd750bba9870f18aada2478b24840a/8c902aecfb86272d8fcb279b90da0e1f.png;3414;1004;;50 Th/s;12;290;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer T19;Каталог / ASIC Майнеры / Bitmain;112500.0;InStock;4904;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t19/;https://miningshop.ru/upload/iblock/775/775ec65d83137b226477e068e8cfd53a.png;;2411;4904;;84 Th/s;30;436;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer T9+;Каталог / ASIC Майнеры / Bitmain;19000.0;InStock;1010;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t9/;https://miningshop.ru/upload/iblock/7d3/7d346b52f0096ccf9dd85878cf8a5c86.png;;3007;1010;;10,5 Th/s;7;50;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer Z11;Каталог / ASIC Майнеры / Bitmain;48500.0;InStock;1014;2023-06-05;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z11/;https://miningshop.ru/upload/iblock/4cb/4cbd667e0befdcac406ab7342f03c1a8.jpg;;7050;1014;;105000 Sol;INF;1;;;;;Обновлено: 13:01:52 17/01/2023;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer Z11E;Каталог / ASIC Майнеры / Bitmain;28500.0;InStock;906;2024-02-21;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z11e/;https://miningshop.ru/upload/iblock/3ae/3aeccb61ec930406049278367876eb40.jpg;;589;906;;70 - 73 kSol;;;906;;;;;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;1390;;;;;;;;
Bitmain Antminer Z11j;Каталог / ASIC Майнеры / Bitmain;36000.0;OutOfStock;1018;2023-02-03;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z11j_115_ksol/;https://miningshop.ru/upload/iblock/003/003d7fec67a0c203680f1d1d61046f81.jpg;;0;1018;;105 kSol;INF;7;;;;;Обновлено: 13:01:52 17/01/2023;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer Z15;Каталог / ASIC Майнеры / Bitmain;271350.0;InStock;4877;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z15/;https://miningshop.ru/upload/iblock/dc0/dc0da1e0799c207644c93043098df6da.png;;1579;4877;;420kSol;;;4877;;;;;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer Z15e;Каталог / ASIC Майнеры / Bitmain;402500.0;InStock;8634;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z15e/;https://miningshop.ru/upload/iblock/f2c/aghs8fo1r5wfqzspgmk7ufnj7kuq2ubq.png;;0;8634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer Z9;Каталог / ASIC Майнеры / Bitmain;5000.0;OutOfStock;1023;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z9/;https://miningshop.ru/upload/iblock/3f1/3f1b86de986d8c5e2868d1e345bf92a5.png;;358;1023;;42 kSol;;;1023;;;;;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;1150 ± 10%;;;;;;;;
Bitmain Antminer Z9 mini;Каталог / ASIC Майнеры / Bitmain;2000.0;OutOfStock;1020;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_z9_mini/;https://miningshop.ru/upload/iblock/2bb/2bb40d824f4b107cdfe3afcf569c148f.jpg https://miningshop.ru/upload/iblock/8fa/8fa909c5ebafc181fa72a0740ba86e65.jpg https://miningshop.ru/upload/iblock/cf2/cf24d561b86e9b32cddea00876cc88a0.jpg https://miningshop.ru/upload/iblock/045/04553370a2c29d35e5e6c5f147b018db.jpg https://miningshop.ru/upload/iblock/371/371b5bf7eb37a7a9c0a604707b30550e.jpg https://miningshop.ru/upload/iblock/778/7785884d8d953697e82351260dd50531.jpg https://miningshop.ru/upload/iblock/761/761acc9f1f55cad31a3859895cbaef84.jpg https://miningshop.ru/upload/iblock/359/3594a3c9316830179cb38c312957a2aa.jpg https://miningshop.ru/upload/iblock/55c/55cf3a60dc3d615614c703fca1f0ec75.jpg;mirror/upload/resize_cache/iblock/8fa/400_400_140cd750bba9870f18aada2478b24840a/8fa909c5ebafc181fa72a0740ba86e65.jpg mirror/upload/resize_cache/iblock/cf2/400_400_140cd750bba9870f18aada2478b24840a/cf24d561b86e9b32cddea00876cc88a0.jpg mirror/upload/resize_cache/iblock/045/400_400_140cd750bba9870f18aada2478b24840a/04553370a2c29d35e5e6c5f147b018db.jpg mirror/upload/resize_cache/iblock/371/400_400_140cd750bba9870f18aada2478b24840a/371b5bf7eb37a7a9c0a604707b30550e.jpg;486;1020;;10 kSol;;;1020;;;;;;;;Equihash;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;
Avalon 1247;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Canaan Avalon для майнинга по низкой цене в Москве;;Ожидаем поставку;Цена;2022-09-03;https://miningshop.ru/catalog/asic_maynery/canaan_avalon/avalon_1247/;https://miningshop.ru/upload/iblock/a06/0uhmghxd3s0jrpi55ym0ogl0j6epavaw/p1456330255-asic-majner-canaan.html-72882830146818.png;;0;;;;;;25501;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;Нет;;;;;;;
Avalon miner 1246;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Canaan Avalon для майнинга по низкой цене в Москве;;Ожидаем поставку;6739;2022-09-03;https://miningshop.ru/catalog/asic_maynery/canaan_avalon/avalon_miner_1246/;https://miningshop.ru/upload/iblock/ffd/ue6yliw2ey0gglkmc3gs5ajhn6tn7yiz.jpg;;0;6739;3420 W;85 th/s;;;6739;;;;;;;;;;;;;;;;;;;;;;;;;;;;Да;;;;;;;;;;;;;;
Canaan Avalon A1066;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Canaan Avalon для майнинга по низкой цене в Москве;63250.0;InStock;1028;2022-09-03;https://miningshop.ru/catalog/asic_maynery/canaan_avalon/canaan_avalon_a1066/;https://miningshop.ru/upload/iblock/450/4503ead50e9c4e3a5b69d06503f8ed77.jpg;;1242;1028;;46-50 Th/s;;;1028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2442;;;;;;;;
Canaan Avalon A1146;Каталог / ASIC Майнеры / Canaan Avalon;40500.0;OutOfStock;1030;2023-06-05;https://miningshop.ru/catalog/asic_maynery/canaan_avalon/canaan_avalon_a1146/;https://miningshop.ru/upload/iblock/104/104e4e6573d06f5474c5edd021258a1b.png;;214;1030;;56 Th/s;;;1030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3192;;;;;;;;
Canaan Avalon A1166;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Canaan Avalon для майнинга по низкой цене в Москве;67500.0;OutOfStock;4317;2022-07-03;https://miningshop.ru/catalog/asic_maynery/canaan_avalon/canaan_avalon_a1166/;"https://miningshop.ru/upload/iblock/c6f/c6fd40e708f57934bd556974cec78008.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;996;4317;;68 Th/s;;;4317;;;4317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3196;;;;;;;;
Canaan Avalon A1047;Каталог / ASIC Майнеры по низкой цене с доставкой по России;177000.0;InStock;1025;2021-10-20;https://miningshop.ru/catalog/asic_maynery/canaan_avalon_a1047/;"https://miningshop.ru/upload/iblock/223/223666d8479e6c4892b6da0d9a448c62.jpg https://miningshop.ru/upload/iblock/7db/7db7cb5f3cee377864a86f1a6096cbdc.jpg https://miningshop.ru/upload/iblock/192/192b69d9440f394cb73a58323276466f.jpg https://miningshop.ru/upload/iblock/be6/be640246b49c2e8a935d8c4cdc142e30.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";mirror/upload/resize_cache/iblock/7db/400_400_140cd750bba9870f18aada2478b24840a/7db7cb5f3cee377864a86f1a6096cbdc.jpg mirror/upload/resize_cache/iblock/192/400_400_140cd750bba9870f18aada2478b24840a/192b69d9440f394cb73a58323276466f.jpg mirror/upload/resize_cache/iblock/be6/400_400_140cd750bba9870f18aada2478b24840a/be640246b49c2e8a935d8c4cdc142e30.png;1608;;;37 kSol;;;1025;;;1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2442;;;;;;;;
Canaan Avalon A1066;Каталог / ASIC Майнеры по низкой цене с доставкой по России;88500.0;InStock;1028;2021-10-27;https://miningshop.ru/catalog/asic_maynery/canaan_avalon_a1066/;"https://miningshop.ru/upload/iblock/450/4503ead50e9c4e3a5b69d06503f8ed77.jpg https://miningshop.ru/upload/iblock/ba8/ba8497775081632fb8de8bb101c3ee02.jpg https://miningshop.ru/upload/iblock/a12/a127708c5edf1da718519427c9d63b03.jpg https://miningshop.ru/upload/iblock/281/281828875692cbce9dd9ef899feda0d1.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";mirror/upload/resize_cache/iblock/ba8/400_400_140cd750bba9870f18aada2478b24840a/ba8497775081632fb8de8bb101c3ee02.jpg mirror/upload/resize_cache/iblock/a12/400_400_140cd750bba9870f18aada2478b24840a/a127708c5edf1da718519427c9d63b03.jpg mirror/upload/iblock/281/281828875692cbce9dd9ef899feda0d1.png;1241;;;50 Th/s;;;1028;;;1028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2442;;;;;;;;
Canaan Avalon A1146;Каталог / ASIC Майнеры по низкой цене с доставкой по России;112500.0;InStock;1030;2021-10-20;https://miningshop.ru/catalog/asic_maynery/canaan_avalon_a1146/;"https://miningshop.ru/upload/iblock/104/104e4e6573d06f5474c5edd021258a1b.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;214;;;56 Th/s;;;1030;;;1030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3192;;;;;;;;
Canaan Avalon A1166;Каталог / ASIC Майнеры по низкой цене с доставкой по России;67500.0;OutOfStock;4317;2021-10-27;https://miningshop.ru/catalog/asic_maynery/canaan_avalon_a1166/;"https://miningshop.ru/upload/iblock/c6f/c6fd40e708f57934bd556974cec78008.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;1002;;;68 Th/s;;;4317;;;4317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3196;;;;;;;;
Canaan Avalon PRO A1066 55 Th/s;Каталог / ASIC Майнеры по низкой цене с доставкой по России;38580.0;InStock;5040;2021-10-20;https://miningshop.ru/catalog/asic_maynery/canaan_avalon_pro_a1066_55_th_s/;"https://miningshop.ru/upload/iblock/229/229d2ad637eb06851c4ea95708c762fd.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;1241;;;55 Th/s;;;5040;;;5040;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;2442;;;;;;;;
Cheetah F1;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве;90000.0;OutOfStock;1032;2022-05-18;https://miningshop.ru/catalog/asic_maynery/cheetah_f1/;"https://miningshop.ru/upload/iblock/34f/f6at8ajaipu9lqqeiw3h0b0f06ihqtt5.png https://miningshop.ru/upload/iblock/770/hdvcakewbvpmp3m9r8wbpiul8gcdhwmf.png https://miningshop.ru/upload/iblock/638/z0lleg0nx03giivuayhyjgjhutrmshnk.png https://miningshop.ru/upload/iblock/603/87eqxss6jpij3eq52hwkuewwboil2k80.png https://miningshop.ru/upload/iblock/7d9/ijfroy9tz3q15otr2dbbibs24qc959ox.png https://miningshop.ru/upload/iblock/f6a/pfuea3f9hwbeudrzsaj3ye9t0cvi7cta.jpg https://miningshop.ru/upload/iblock/391/oqebkncb8o996eb0p5wuyy411xw3ag6n.jpg https://miningshop.ru/upload/iblock/127/dub9ayepud5j6sk7ajxbov7yhciav36k.jpg https://miningshop.ru/upload/iblock/e8b/bw6h3inab3cznuupsz3lgoj1jc9sp0jf.jpg https://miningshop.ru/upload/iblock/25d/xmd5mjpa0wkcph8fhovnbh3wxzunpze9.jpg https://miningshop.ru/upload/iblock/26f/wxzjioxo4zfj60nxvhr73p130y0u0hzo.jpg https://miningshop.ru/upload/iblock/afe/ddlug98e6l1jnfas2i3qzh0ualfcec6e.jpg https://miningshop.ru/upload/iblock/80a/3i0i65p8i7151k5bozc1t28ks8lmndof.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";mirror/upload/resize_cache/iblock/638/400_400_140cd750bba9870f18aada2478b24840a/z0lleg0nx03giivuayhyjgjhutrmshnk.png mirror/upload/resize_cache/iblock/7d9/400_400_140cd750bba9870f18aada2478b24840a/ijfroy9tz3q15otr2dbbibs24qc959ox.png;1210;1032;;24-25 Th/s;;;1032;;;1032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100;;;;;;;;
Cheetah miner F5i 60T;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве;150000.0;OutOfStock;1036;2022-05-20;https://miningshop.ru/catalog/asic_maynery/cheetah_miner_f5i_60t/;"https://miningshop.ru/upload/iblock/b7a/b7ae83d3cb5124c6018eac3b0fd0b84b.png https://miningshop.ru/upload/iblock/31b/31bebb3b7baee86a47edcf889b9610fb.png https://miningshop.ru/upload/iblock/88a/88a46d87d5621af81e9c1dcaac8b648a.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";mirror/upload/resize_cache/iblock/31b/400_400_140cd750bba9870f18aada2478b24840a/31bebb3b7baee86a47edcf889b9610fb.png;1554;1036;;60 Th/s;;;1036;;;1036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2900;;;;;;;;
Dayun Zig Z1 Pro;Каталог / ASIC Майнеры;;Ожидаем поставку;4915;2022-12-02;https://miningshop.ru/catalog/asic_maynery/dayun_zig_z1_pro/;https://miningshop.ru/upload/iblock/018/0187bdb204547805a4caaebee5aeab6f.jpg;;1721;4915;;13Gh/s;;;4915;;;;;;;;Lyra2REv2;;;;;;;;;;;;;;;;;;;;;;;;;;1500 W;;;;;;;;
DragonMint T1;Каталог / ASIC Майнеры;;Ожидаем поставку;1038;2025-04-06;https://miningshop.ru/catalog/asic_maynery/dragonmint_t1/;https://miningshop.ru/upload/resize_cache/webp/iblock/974/974fa818cd5eb33b4ebd5394cd1386a2.webp;;0;1038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebang EBIT E10;Каталог / ASIC Майнеры / Ebang;;Ожидаем поставку;1042;2023-06-26;https://miningshop.ru/catalog/asic_maynery/ebang/ebang_ebit_e10/;https://miningshop.ru/upload/iblock/861/8618ea02ab951e017191d2adc8147f3c.png https://miningshop.ru/upload/iblock/769/769d506b50c71c5319a52c0d39afc9a8.png https://miningshop.ru/upload/iblock/b92/b920083c4434c8b20842b3d005b29ff4.png https://miningshop.ru/upload/iblock/f2a/f2aab6d000b31c44fcf3ed3f7b7ee9ac.png https://miningshop.ru/upload/iblock/638/638aebb31d31cae3d5b01fd3e5cd9ad6.png https://miningshop.ru/upload/iblock/5b5/5b531d0e85eecbd1a0bb969a707fa6f0.png https://miningshop.ru/upload/iblock/48b/48b3880181efb5cf9e2e4796c651b18b.png https://miningshop.ru/upload/iblock/7ee/7eeb82df6365cc817bc652496bc2661f.png https://miningshop.ru/upload/iblock/34e/34e2615303f4a6d8b611e7ac36d1013d.png;mirror/upload/resize_cache/iblock/769/400_400_140cd750bba9870f18aada2478b24840a/769d506b50c71c5319a52c0d39afc9a8.png mirror/upload/resize_cache/iblock/b92/400_400_140cd750bba9870f18aada2478b24840a/b920083c4434c8b20842b3d005b29ff4.png mirror/upload/resize_cache/iblock/f2a/400_400_140cd750bba9870f18aada2478b24840a/f2aab6d000b31c44fcf3ed3f7b7ee9ac.png mirror/upload/resize_cache/iblock/638/400_400_140cd750bba9870f18aada2478b24840a/638aebb31d31cae3d5b01fd3e5cd9ad6.png;1233;1042;;18 Th/s;;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000-2300;;;;;;;;
Ebang EBIT E10.1;Каталог / ASIC Майнеры / Ebang;;Ожидаем поставку;1046;2022-12-02;https://miningshop.ru/catalog/asic_maynery/ebang/ebang_ebit_e10_1/;https://miningshop.ru/upload/iblock/6b1/6b1a52d220c4042c2f92f749de344690.jpg https://miningshop.ru/upload/iblock/821/8214be8e5bb9ba81eab1a97c1185e4c5.png https://miningshop.ru/upload/iblock/1c3/1c3e5e98343580f7951b7ad45ac489cb.png https://miningshop.ru/upload/iblock/753/75372af66222ad4a3d69124c2836ccf8.png https://miningshop.ru/upload/iblock/132/132f98f4433f9b6e436625b6948e2a1d.png https://miningshop.ru/upload/iblock/120/120f777b340ca334b55ba2a7d27a3e06.png https://miningshop.ru/upload/iblock/4a4/4a4aea77540be4bc2b34b991a0a22e6b.png https://miningshop.ru/upload/iblock/19d/19d3d5157c95d079ab2b2df96ac4713c.png https://miningshop.ru/upload/iblock/94a/94a45a895029b9da3f17116031bc0aa6.png;mirror/upload/resize_cache/iblock/821/400_400_140cd750bba9870f18aada2478b24840a/8214be8e5bb9ba81eab1a97c1185e4c5.png mirror/upload/resize_cache/iblock/1c3/400_400_140cd750bba9870f18aada2478b24840a/1c3e5e98343580f7951b7ad45ac489cb.png mirror/upload/resize_cache/iblock/753/400_400_140cd750bba9870f18aada2478b24840a/75372af66222ad4a3d69124c2836ccf8.png mirror/upload/resize_cache/iblock/132/400_400_140cd750bba9870f18aada2478b24840a/132f98f4433f9b6e436625b6948e2a1d.png;1542;1046;;18 Th/s;;;1046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000-2300;;;;;;;;
Ebang EBIT E10.3;Каталог / ASIC Майнеры / Ebang;3000.0;OutOfStock;1048;2023-06-26;https://miningshop.ru/catalog/asic_maynery/ebang/ebang_ebit_e10_3/;https://miningshop.ru/upload/iblock/b7b/b7b24620ac49829f6c0d70e98ddd4d48.jpg;;1550;1048;;24 Th/s;;;1048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2800;;;;;;;;
Ebang EBIT E11++;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Ebang для майнинга по низкой цене в Москве;12000.0;OutOfStock;3817;2022-07-03;https://miningshop.ru/catalog/asic_maynery/ebang/ebang_ebit_e11_/;"https://miningshop.ru/upload/iblock/284/284b43dc28e7ae7db92d18d2fb23d993.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;2702;3817;;44 Th/s;;;3817;;;3817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;;;;;;;;
Ebang EBIT E12+;Каталог / ASIC Майнеры / Ebang;;Ожидаем поставку;3822;2023-02-03;https://miningshop.ru/catalog/asic_maynery/ebang/ebang_ebit_e12/;https://miningshop.ru/upload/iblock/46a/46ad05c20cf69c7d6297d37d759bf942.jpg;;0;3822;;50 Th/s;;;3822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;;;;;;;;
HUMMER MINER MARS H1 HANDSHAKE;Каталог / ASIC Майнеры;71000.0;OutOfStock;4931;2023-06-26;https://miningshop.ru/catalog/asic_maynery/hummer_miner_mars_h1_handshake/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/4b4/4b4d89a52abc40f5a3f1d8d45a31a26f.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/d71/d71205c46ec62ea2462416b489991072.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/99f/99f886bad774ca2f0753a113157db7f9.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/1ab/1ab672cb1ebf995c5d28fd795f03c5a1.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/e4e/e4e67de2fd4c4fdfb09f02f33b99fda0.webp;;1111;4931;;80 GH/s;;;4931;;;;;;;;Blake2B+SHA3;;;;;;;;;;;;;;;;;;;;;;;;;;2000 W;;;;;;;;
Innosilicon A11 PRO;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Innosilicon для майнинга по низкой цене в Москве;;Ожидаем поставку;22544;2022-07-03;https://miningshop.ru/catalog/asic_maynery/innosilicon/a11_pro/;"https://miningshop.ru/upload/iblock/1cc/avhpxyi43u5l6dfgn9i11b2xj15jstd0/2021-Asic-Miner-Innosilicon-A11-PRO-8g-2000m-Ethereum-Eth-Miner-with-PSU.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;3444;;;;;;22544;;;22544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Innosilicon A10 5GB ETH Miner;Каталог / ASIC Майнеры / Innosilicon;116500.0;OutOfStock;1051;2023-06-26;https://miningshop.ru/catalog/asic_maynery/innosilicon/innosilicon_a10_5gb_eth_miner/;https://miningshop.ru/upload/iblock/cfc/cfce6753bcbd2c422e4753bc1563b2e6.jpg https://miningshop.ru/upload/iblock/60b/60b296b1376a8e47d65fcda0d95aa2f2.jpg https://miningshop.ru/upload/iblock/06a/06a03820e5b69d57cdfc1a5101aebf01.JPG https://miningshop.ru/upload/iblock/83a/83abad73a266a395326365a3b5498c5f.JPG https://miningshop.ru/upload/iblock/ba4/ba4982d1061ebf6678ba56879e3126ea.JPG https://miningshop.ru/upload/iblock/056/05643922af42d041ac3782061a09b608.JPG https://miningshop.ru/upload/iblock/e38/e38181b4afb89e059600df6825b7f607.JPG https://miningshop.ru/upload/iblock/f76/f76bdb47f797039746c1c510c0d7bda7.JPG https://miningshop.ru/upload/iblock/7e1/7e127b36a2482fe81d2c10dcf08ff3f2.JPG;mirror/upload/resize_cache/iblock/60b/400_400_140cd750bba9870f18aada2478b24840a/60b296b1376a8e47d65fcda0d95aa2f2.jpg mirror/upload/resize_cache/iblock/06a/400_400_140cd750bba9870f18aada2478b24840a/06a03820e5b69d57cdfc1a5101aebf01.JPG mirror/upload/resize_cache/iblock/83a/400_400_140cd750bba9870f18aada2478b24840a/83abad73a266a395326365a3b5498c5f.JPG mirror/upload/resize_cache/iblock/ba4/400_400_140cd750bba9870f18aada2478b24840a/ba4982d1061ebf6678ba56879e3126ea.JPG;4030;1051;;500;;;1051;;;;;;;;DaggerHashimoto;;;;;;;;;;;;;;;;;;;;;;;;;;860;;;;;;;;
